file,engine,workload,concurrency,model,max_tokens,input_tokens,num_requests,num_successful,num_failed,total_duration_s,request_throughput_req_s,output_throughput_tok_s,e2e_latency_p50_s,e2e_latency_p95_s,e2e_latency_p99_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_s,approx_total_output_tokens
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c1.jsonl,vllm_prefix_on,long,1,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,95.1874138689891,0.672357798144261,42.55814750441252,1.4743749820045196,1.4787847402956686,1.7652221244195223,0.03716998051095288,0.039142873634409624,0.1264095366524992,0.023210044661354838,4051
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c2.jsonl,vllm_prefix_on,long,2,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,67.91372797399526,0.9423720639294921,72.56264892257089,2.1226098189945333,2.124086240341421,2.1269244867115047,0.04404948849696666,0.04427295701898402,0.05147255422256417,0.027342746398026543,4928
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c4.jsonl,vllm_prefix_on,long,4,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,34.6165922669752,1.8488243876349737,143.89053554390318,2.163032056996599,2.178990559464728,2.409674894695052,0.044894221020513214,0.06710477739834458,0.07529532962507801,0.027069483142670322,4981
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c8.jsonl,vllm_prefix_on,long,8,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,18.02629013999831,3.550370015291788,268.9960031898419,2.2482671980105806,2.2775464149031905,2.279300639970752,0.06359098599932622,0.08616576147906016,0.08907890044385568,0.028299808046618167,4849
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c16.jsonl,vllm_prefix_on,long,16,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,9.64053609399707,6.638634965523469,516.3613259121223,2.3618308675067965,2.4898790196690244,2.491172844627581,0.09163499750138726,0.11428589345305226,0.11693524122238158,0.02857699197140976,4978
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_long_c32.jsonl,vllm_prefix_on,long,32,Qwen/Qwen2.5-7B-Instruct,128,1024,64,64,0,4.807009153009858,13.313891853092702,894.3190793194614,2.055168240010971,2.4099815056018996,2.477685804365028,0.1523729675100185,0.17096679194510217,0.17180949308502022,0.027775078411170863,4299
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c1.jsonl,vllm_prefix_on,shared_prefix,1,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,261.2217147570045,0.36750390406594563,33.60746639369726,2.7213194020005176,2.7294686342502246,2.7418349331492204,0.0383438915014267,0.03994853025506018,0.0536764796750497,0.029916913534976736,8779
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c2.jsonl,vllm_prefix_on,shared_prefix,2,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,134.30676163098542,0.7147815853364466,64.98555913350528,2.799315023497911,2.8032631652458804,2.8050009875456454,0.044929171504918486,0.04581307849730365,0.05481047798675713,0.030904556941594347,8728
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c4.jsonl,vllm_prefix_on,shared_prefix,4,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,68.64189817599254,1.398562722637177,128.2015829084079,2.859317213500617,2.8672437982531847,2.8818849882518407,0.046380923988181166,0.06774596349714557,0.07178313534823247,0.03125130717673177,8800
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c8.jsonl,vllm_prefix_on,shared_prefix,8,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,35.63275857298868,2.6941500979599304,242.3893166258325,2.9652060025109677,2.9915583084948594,2.9929246418963884,0.06390181349706836,0.09191911749803694,0.09296221376425819,0.03292746922255819,8637
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c16.jsonl,vllm_prefix_on,shared_prefix,16,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,19.186943773005623,5.003402372766826,454.7363093999016,3.192264987999806,3.205006412754301,3.205856071606104,0.1027570295118494,0.12046029074554099,0.1215069714031415,0.034746174596551806,8725
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_shared_prefix_c32.jsonl,vllm_prefix_on,shared_prefix,32,Qwen/Qwen2.5-7B-Instruct,128,128,96,96,0,10.038693692011293,9.562997233036006,863.6581876085643,3.327827140019508,3.375263082496531,3.3783362883041264,0.1893914194952231,0.22148556399770314,0.22348421995266107,0.03572971519575457,8670
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c1.jsonl,vllm_prefix_on,short,1,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,256.5677479500009,0.37417017831371446,38.91369854462631,2.646483778982656,2.6762783995000063,2.822609174347591,0.0316855065029813,0.033358339984260965,0.1905772958852965,0.025337715411817785,9984
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c2.jsonl,vllm_prefix_on,short,2,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,130.67483473199536,0.7346479541901779,74.93409132739815,2.7225539469945943,2.7287339180038543,2.738134376905509,0.04170143298688345,0.04228142298961757,0.04466663691273421,0.02654750495013407,9792
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c4.jsonl,vllm_prefix_on,short,4,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,65.6978113919904,1.4612358915156178,149.04606093459302,2.737274369021179,2.747737707257329,2.7495860054550576,0.04174896750191692,0.04306246675696457,0.0626325974939391,0.02668901482479079,9792
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c8.jsonl,vllm_prefix_on,short,8,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,33.943175310996594,2.8282563172249477,293.1959048856529,2.8269168929982698,2.831221274980635,2.832687154992891,0.06066298499354161,0.07045799374463968,0.07079910875472706,0.026938002314414716,9952
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c16.jsonl,vllm_prefix_on,short,16,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,17.71910282599856,5.4178815339985995,552.5110439358988,2.9494319040095434,2.9542859282446443,2.957694516403717,0.07730992100550793,0.08600043923797784,0.08739943126420256,0.0284284749086943,9790
experiments/vllm_prefix_on_20260523_075854/raw/vllm_prefix_on_short_c32.jsonl,vllm_prefix_on,short,32,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,9.096290042012697,10.553753184716886,1056.9144074777932,3.016360851484933,3.0511731295046047,3.0547099148781856,0.1037228214845527,0.13481001799664227,0.13803095039038452,0.029371721056795985,9614
