file,engine,workload,concurrency,model,max_tokens,input_tokens,num_requests,num_successful,num_failed,total_duration_s,request_throughput_req_s,output_throughput_tok_s,e2e_latency_p50_s,e2e_latency_p95_s,e2e_latency_p99_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_s,approx_total_output_tokens
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c1.jsonl,vllm_prefix_off,long,1,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,1.709834873006912,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c2.jsonl,vllm_prefix_off,long,2,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,1.03754784699413,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c4.jsonl,vllm_prefix_off,long,4,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.7423451540234964,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c8.jsonl,vllm_prefix_off,long,8,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.9758960999897681,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c16.jsonl,vllm_prefix_off,long,16,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.9667477659822907,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_long_c32.jsonl,vllm_prefix_off,long,32,Qwen/Qwen2.5-7B-Instruct,128,1024,64,0,64,0.8628660510003101,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c1.jsonl,vllm_prefix_off,shared_prefix,1,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,2.810087988997111,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c2.jsonl,vllm_prefix_off,shared_prefix,2,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.9620892539969645,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c4.jsonl,vllm_prefix_off,shared_prefix,4,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.586329621000914,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c8.jsonl,vllm_prefix_off,shared_prefix,8,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.4301174109859858,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c16.jsonl,vllm_prefix_off,shared_prefix,16,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.4307194360007998,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_shared_prefix_c32.jsonl,vllm_prefix_off,shared_prefix,32,Qwen/Qwen2.5-7B-Instruct,128,128,96,0,96,1.252342558989767,0.0,0.0,,,,,,,,0
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c1.jsonl,vllm_prefix_off,short,1,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,136.28458632499678,0.7044083457176115,33.81160059444535,1.3750393139926018,1.4353796544965007,1.590779080745406,0.28683128400007263,0.31676441351737594,0.4727979955437971,0.02327908527126481,4608
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c2.jsonl,vllm_prefix_off,short,2,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,89.82077876399853,1.0687950084716722,55.844539192644866,1.8725904839957366,2.24942015173292,2.259925545855367,0.327993016486289,0.6315749147324823,0.6403566834531376,0.02835594151887071,5016
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c4.jsonl,vllm_prefix_off,short,4,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,58.611024859012105,1.6379171023015975,81.48637583950448,2.3945624609914375,2.6678852892582654,2.902060787899245,0.6160061085101916,0.7172890162546537,1.1840128852374618,0.03954368208398095,4776
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c8.jsonl,vllm_prefix_off,short,8,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,45.37898436799878,2.1155167163172366,117.8519104048394,3.7939591059985105,4.204504758490657,4.206416515258025,1.8103449220070615,2.3394543364920537,2.3407803281006636,0.040770368642922154,5348
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c16.jsonl,vllm_prefix_off,short,16,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,37.05059114700998,2.5910517761805614,132.1706307078772,6.088117342995247,8.011566372500965,10.054684203605575,1.8028826889931224,3.890680174998124,4.771500984400336,0.08336316855987676,4897
experiments/vllm_prefix_off_20260523_070603/raw/vllm_prefix_off_short_c32.jsonl,vllm_prefix_off,short,32,Qwen/Qwen2.5-7B-Instruct,128,256,96,96,0,33.21555649602669,2.8902120008582033,148.42442879407233,10.980788977991324,18.76402812376182,18.767325158335733,3.5385507924947888,9.266301898001984,9.284184189971711,0.14813730935633718,4930
